spend_bin,cum_provider_share,cum_spend_share
233,0.23310443078499168,0.0033257121909671403
234,0.23410487898578564,0.003357275085863265
235,0.2351053271865796,0.0033890137855879725
236,0.23610577538737354,0.003420927513320105
237,0.2371062235881675,0.0034529936235459255
238,0.23810667178896144,0.0034852255183920678
239,0.23910711998975542,0.0035176107765666925
240,0.24010756819054938,0.0035501783562362746
241,0.24110801639134333,0.0035829241967447662
242,0.24210846459213728,0.0036158608645475545
243,0.24310891279293123,0.003648986229271466
244,0.24410936099372518,0.0036822945393012643
245,0.24510980919451913,0.0037157895257325093
246,0.2461102573953131,0.0037494770853439855
247,0.24711070559610707,0.003783334258754821
248,0.24811115379690102,0.0038173878855283353
249,0.24911160199769497,0.0038516371456866396
250,0.2501120501984889,0.0038860428607646992
251,0.2511124983992829,0.003920616349596044
252,0.2521129466000768,0.003955393738287827
253,0.2531133948008708,0.00399038228501753
254,0.25411384300166473,0.004025573813546304
255,0.2551142912024587,0.004060936748840443
256,0.25611473940325263,0.004096488439905791
257,0.2571151876040466,0.004132243783661211
258,0.2581156358048406,0.004168187757640988
259,0.2591160840056345,0.004204313178211086
260,0.2601165322064285,0.0042406145840833695
261,0.2611169804072224,0.0042771378233994765
262,0.2621174286080164,0.004313862851819545
263,0.2631178768088103,0.004350742852137159
264,0.2641183250096043,0.004387831836962787
265,0.2651187732103983,0.004425107039159178
266,0.2661192214111922,0.004462563429005503
267,0.2671196696119862,0.0045002120036214815
268,0.2681201178127801,0.0045380361319723355
269,0.2691205660135741,0.00457604997338916
270,0.270121014214368,0.004614251103248342
271,0.271121462415162,0.0046526182335115
272,0.272121910615956,0.0046911872509620995
273,0.2731223588167499,0.004729959430685372
274,0.2741228070175439,0.004768918757610791
275,0.2751232552183378,0.0048080846287272576
276,0.2761237034191318,0.004847436513200848
277,0.2771241516199257,0.004886981245488413
278,0.2781245998207197,0.004926724906765677
279,0.2791250480215136,0.004966679835934358
280,0.2801254962223076,0.005006830712354963
281,0.28112594442310157,0.005047173593071619
282,0.2821263926238955,0.005087702765702481
283,0.2831268408246895,0.005128428937040168
